entry_index,exit_index,entry_price,exit_price,trade_return,capital_after_trade,relative_profit
3599,3612,22819.79,22803.64,-0.000708,1013.33,-0.000708
3613,3665,22764.45,22715.55,-0.002148,1011.15,-0.002148
3667,3669,22695.05,22720.31,0.001113,1012.28,0.001113
3701,3704,22756.7,22760.1,0.000149,1012.43,0.000149
3716,3718,22801.03,22813.31,0.000539,1012.97,0.000539
3719,3722,22797.57,22773.85,-0.00104,1011.92,-0.00104
3756,3757,22841.21,22844.23,0.000132,1012.05,0.000132
3763,3780,22822.85,22839.98,0.000751,1012.81,0.000751
3783,3790,22837.15,22861.59,0.00107,1013.9,0.00107
3791,3795,22855.26,22866.01,0.00047,1014.37,0.00047
3799,3801,22854.67,22856.19,6.7e-05,1014.44,6.7e-05
3803,3817,22847.05,22800.97,-0.002017,1012.4,-0.002017
3818,3823,22799.6,22825.88,0.001153,1013.56,0.001153
3827,3832,22843.83,22850.15,0.000277,1013.84,0.000277
3835,3840,22855.57,22861.48,0.000259,1014.11,0.000259
3861,3862,22907.66,22921.51,0.000605,1014.72,0.000605
3865,3869,22892.04,22896.15,0.00018,1014.9,0.00018
3882,3885,22893.18,22903.76,0.000462,1015.37,0.000462
3891,3898,22870.66,22902.61,0.001397,1016.79,0.001397
3903,3924,22871.43,22871.62,8e-06,1016.8,8e-06
3925,3926,22862.58,22871.29,0.000381,1017.18,0.000381
3927,3928,22863.78,22869.54,0.000252,1017.44,0.000252
3930,3931,22865.43,22892.66,0.001191,1018.65,0.001191
3933,3935,22874.65,22866.99,-0.000335,1018.31,-0.000335
4025,4029,23116.2,23115.97,-1e-05,1018.3,-1e-05
4030,4044,23109.17,23162.87,0.002324,1020.67,0.002324
4059,4066,23122.64,23168.99,0.002005,1022.71,0.002005
4072,4079,23147.49,23123.54,-0.001035,1021.65,-0.001035
4094,4097,23124.64,23119.28,-0.000232,1021.42,-0.000232
4099,4104,23114.31,23100.74,-0.000587,1020.82,-0.000587
4105,4106,23100.2,23121.5,0.000922,1021.76,0.000922
4109,4118,23103.57,23021.86,-0.003537,1018.15,-0.003537
4119,4133,23004.93,22973.68,-0.001358,1016.76,-0.001358
4134,4144,22934.38,22964.42,0.00131,1018.09,0.00131
4149,4175,23191.98,23092.98,-0.004269,1013.75,-0.004269
4177,4183,23079.13,23068.84,-0.000446,1013.3,-0.000446
4200,4203,23062.38,23124.74,0.002704,1016.04,0.002704
4208,4240,23120.86,23082.78,-0.001647,1014.36,-0.001647
4241,4242,23077.09,23092.98,0.000689,1015.06,0.000689
4262,4263,23117.97,23120.36,0.000103,1015.17,0.000103
4290,4291,23118.67,23121.6,0.000127,1015.3,0.000127
4292,4293,23113.46,23121.06,0.000329,1015.63,0.000329
4294,4299,23116.81,23103.73,-0.000566,1015.05,-0.000566
4300,4302,23103.81,23120.79,0.000735,1015.8,0.000735
4303,4315,23116.19,23077.71,-0.001665,1014.11,-0.001665
4316,4320,23087.07,23111.14,0.001043,1015.17,0.001043
4322,4358,23092.26,23011.16,-0.003512,1011.6,-0.003512
4359,4360,23006.48,23017.68,0.000487,1012.09,0.000487
4361,4385,23005.22,22981.59,-0.001027,1011.05,-0.001027
4428,4429,23060.05,23064.27,0.000183,1011.24,0.000183
4431,4433,23052.85,23054.71,8.1e-05,1011.32,8.1e-05
4444,4447,23084.64,23100.12,0.000671,1012.0,0.000671
4448,4449,23088.03,23095.59,0.000327,1012.33,0.000327
4450,4451,23086.1,23090.53,0.000192,1012.52,0.000192
4460,4461,23092.1,23103.32,0.000486,1013.02,0.000486
4462,4463,23045.21,23069.69,0.001062,1014.09,0.001062
4472,4475,23062.23,23075.08,0.000557,1014.66,0.000557
4476,4510,23046.13,22999.85,-0.002008,1012.62,-0.002008
4512,4527,22978.59,23000.47,0.000952,1013.58,0.000952
4533,4536,22968.3,22982.89,0.000635,1014.23,0.000635
4539,4540,22996.18,23105.0,0.004732,1019.03,0.004732
4541,4544,23071.16,23075.5,0.000188,1019.22,0.000188
4546,4548,23039.41,23064.25,0.001078,1020.32,0.001078
4552,4553,23020.21,23105.32,0.003697,1024.09,0.003697
4556,4558,23020.61,23034.48,0.000603,1024.71,0.000603
4560,4563,22996.95,23062.82,0.002864,1027.64,0.002864
4569,4571,23423.34,23418.22,-0.000219,1027.42,-0.000219
4625,4626,23657.88,23712.59,0.002313,1029.79,0.002313
4646,4655,23695.34,23721.03,0.001084,1030.91,0.001084
4659,4661,23732.2,23791.18,0.002485,1033.47,0.002485
4680,4737,24052.11,23881.77,-0.007082,1026.15,-0.007082
4738,4739,23882.07,23899.02,0.00071,1026.88,0.00071
4741,4743,23881.27,23895.65,0.000602,1027.5,0.000602
4757,4759,23873.34,23869.9,-0.000144,1027.35,-0.000144
4760,4762,23861.57,23871.3,0.000408,1027.77,0.000408
4763,4785,23851.49,23789.86,-0.002584,1025.12,-0.002584
4787,4790,23774.52,23786.46,0.000502,1025.63,0.000502
4793,4796,23804.34,23816.7,0.000519,1026.16,0.000519
4801,4808,23806.9,23768.69,-0.001605,1024.52,-0.001605
4810,4812,23781.12,23799.14,0.000758,1025.29,0.000758
4821,4824,23807.07,23802.66,-0.000185,1025.1,-0.000185
4825,4826,23794.09,23802.8,0.000366,1025.48,0.000366
4833,4842,23781.07,23799.94,0.000793,1026.29,0.000793
4852,4853,23812.7,23810.12,-0.000108,1026.18,-0.000108
4862,4865,23785.46,23800.7,0.000641,1026.84,0.000641
4866,4872,23788.21,23787.36,-3.6e-05,1026.8,-3.6e-05
4888,4889,23802.87,23814.36,0.000483,1027.3,0.000483
4898,4899,23800.05,23804.07,0.000169,1027.47,0.000169
4903,4906,23787.11,23789.15,8.6e-05,1027.56,8.6e-05
4910,4916,23800.76,23792.77,-0.000336,1027.21,-0.000336
4920,4933,23798.96,23792.06,-0.00029,1026.92,-0.00029
4942,4944,23877.74,23863.57,-0.000593,1026.31,-0.000593
4945,4952,23766.57,23644.56,-0.005134,1021.04,-0.005134
4953,4956,23630.29,23654.01,0.001004,1022.06,0.001004
4957,4958,23635.62,23664.16,0.001207,1023.3,0.001207
4975,4977,23794.64,23794.09,-2.3e-05,1023.27,-2.3e-05
5019,5021,24055.79,24024.44,-0.001303,1021.94,-0.001303
5032,5033,23957.04,23981.13,0.001006,1022.97,0.001006
5034,5039,23913.26,23824.43,-0.003715,1019.17,-0.003715
5041,5071,23801.05,23888.93,0.003692,1022.93,0.003692
5072,5097,23844.79,23580.35,-0.01109,1011.59,-0.01109
5099,5108,23569.41,23598.25,0.001224,1012.82,0.001224
5109,5144,23572.47,23542.2,-0.001284,1011.52,-0.001284
5165,5166,23541.32,23555.09,0.000585,1012.11,0.000585
5167,5169,23535.01,23558.51,0.000999,1013.12,0.000999
5175,5189,23534.64,23480.89,-0.002284,1010.81,-0.002284
5190,5197,23475.45,23496.16,0.000882,1011.7,0.000882
5199,5202,23484.48,23527.22,0.00182,1013.54,0.00182
5205,5218,23525.59,23550.0,0.001038,1014.6,0.001038
5247,5248,23520.78,23530.3,0.000405,1015.01,0.000405
5256,5260,23526.73,23520.73,-0.000255,1014.75,-0.000255
5268,5275,23514.41,23524.24,0.000418,1015.17,0.000418
5279,5301,23509.44,23411.48,-0.004167,1010.94,-0.004167
5302,5315,23388.98,23440.87,0.002219,1013.18,0.002219
5317,5323,23430.91,23436.96,0.000258,1013.45,0.000258
5331,5345,23414.51,23434.46,0.000852,1014.31,0.000852
5352,5355,23429.69,23434.05,0.000186,1014.5,0.000186
5398,5399,23497.95,23504.09,0.000261,1014.76,0.000261
5401,5404,23393.75,23389.38,-0.000187,1014.57,-0.000187
5406,5408,23303.22,23325.6,0.00096,1015.55,0.00096
5411,5421,23341.22,23369.71,0.001221,1016.79,0.001221
5428,5435,23530.55,23528.33,-9.4e-05,1016.69,-9.4e-05
5440,5442,23614.2,23653.67,0.001671,1018.39,0.001671
5466,5467,23586.09,23573.0,-0.000555,1017.83,-0.000555
5470,5472,23519.21,23542.51,0.000991,1018.83,0.000991
5473,5484,23524.43,23648.9,0.005291,1024.22,0.005291
5490,5495,23506.58,23460.76,-0.001949,1022.23,-0.001949
5496,5497,23437.6,23465.88,0.001207,1023.46,0.001207
5498,5533,23458.7,23321.67,-0.005841,1017.48,-0.005841
5534,5568,23321.06,23357.57,0.001566,1019.08,0.001566
5614,5617,23403.32,23422.59,0.000823,1019.92,0.000823
5628,5632,23426.88,23424.04,-0.000121,1019.79,-0.000121
5636,5637,23406.21,23418.85,0.00054,1020.34,0.00054
5639,5641,23401.53,23430.39,0.001233,1021.6,0.001233
5644,5738,23423.29,23335.25,-0.003759,1017.76,-0.003759
5739,5740,23319.6,23327.07,0.00032,1018.09,0.00032
5741,5743,23311.7,23324.43,0.000546,1018.64,0.000546
5757,5758,23311.16,23328.2,0.000731,1019.39,0.000731
5762,5766,23308.74,23313.1,0.000187,1019.58,0.000187
5777,5780,23312.42,23321.9,0.000407,1019.99,0.000407
5782,5796,23311.37,23321.56,0.000437,1020.44,0.000437
5802,5806,23325.89,23332.44,0.000281,1020.73,0.000281
5887,5888,23487.94,23488.08,6e-06,1020.73,6e-06
5894,5895,23454.36,23466.33,0.00051,1021.25,0.00051
5896,5900,23449.76,23448.14,-6.9e-05,1021.18,-6.9e-05
5917,5918,23421.1,23455.27,0.001459,1022.67,0.001459
5920,5940,23418.56,23429.36,0.000461,1023.14,0.000461
5942,5954,23426.7,23429.46,0.000118,1023.26,0.000118
5956,5959,23402.22,23426.23,0.001026,1024.31,0.001026
5962,5965,23416.74,23421.06,0.000184,1024.5,0.000184
5977,5979,23435.83,23441.39,0.000237,1024.75,0.000237
5981,5983,23415.53,23430.28,0.00063,1025.39,0.00063
6011,6012,23424.14,23425.88,7.4e-05,1025.47,7.4e-05
6016,6017,23427.09,23429.84,0.000117,1025.59,0.000117
6019,6055,23425.48,23413.16,-0.000526,1025.05,-0.000526
6056,6061,23409.06,23414.58,0.000236,1025.29,0.000236
6065,6068,23406.77,23416.9,0.000433,1025.73,0.000433
6070,6071,23402.89,23411.59,0.000372,1026.11,0.000372
6075,6078,23404.8,23412.62,0.000334,1026.46,0.000334
6081,6088,23408.27,23316.61,-0.003916,1022.44,-0.003916
6095,6105,23335.83,23342.0,0.000264,1022.71,0.000264
6106,6120,23319.57,23328.24,0.000372,1023.09,0.000372
6123,6132,23310.55,23332.72,0.000951,1024.06,0.000951
6149,6152,23302.51,23303.11,2.6e-05,1024.09,2.6e-05
6158,6164,23311.73,23321.36,0.000413,1024.51,0.000413
6165,6167,23316.44,23333.55,0.000734,1025.26,0.000734
6168,6169,23324.15,23335.43,0.000484,1025.76,0.000484
6217,6220,23359.25,23352.44,-0.000292,1025.46,-0.000292
6235,6238,23384.13,23373.63,-0.000449,1025.0,-0.000449
6253,6260,23382.67,23377.59,-0.000217,1024.78,-0.000217
6266,6274,23392.85,23394.44,6.8e-05,1024.85,6.8e-05
6276,6277,23389.84,23392.81,0.000127,1024.98,0.000127
6280,6283,23377.68,23369.2,-0.000363,1024.6,-0.000363
6284,6285,23363.3,23372.46,0.000392,1025.01,0.000392
6287,6297,23369.45,23389.87,0.000874,1025.9,0.000874
6298,6302,23383.48,23377.97,-0.000236,1025.66,-0.000236
6303,6304,23377.07,23393.67,0.00071,1026.39,0.00071
6308,6309,23383.76,23391.25,0.00032,1026.72,0.00032
6322,6323,23369.79,23378.8,0.000386,1027.11,0.000386
6324,6325,23365.67,23369.86,0.000179,1027.3,0.000179
6326,6333,23360.32,23374.26,0.000597,1027.91,0.000597
6334,6350,23363.79,23170.56,-0.00827,1019.41,-0.00827
6351,6356,23139.81,23137.75,-8.9e-05,1019.32,-8.9e-05
6357,6358,23115.66,23146.62,0.001339,1020.68,0.001339
6359,6362,23152.16,23177.56,0.001097,1021.8,0.001097
6364,6365,23176.14,23191.66,0.00067,1022.49,0.00067
6367,6418,23173.49,23126.61,-0.002023,1020.42,-0.002023
6422,6500,23125.28,22929.71,-0.008457,1011.79,-0.008457
6503,6509,22862.28,22877.36,0.00066,1012.46,0.00066
6512,6516,22865.96,22852.51,-0.000588,1011.86,-0.000588
6540,6541,22970.0,22974.68,0.000204,1012.07,0.000204
6553,6555,22941.86,22966.06,0.001055,1013.14,0.001055
6559,6561,22940.29,22954.89,0.000636,1013.78,0.000636
6562,6563,22921.56,22937.16,0.000681,1014.47,0.000681
6569,6571,22937.24,22949.06,0.000515,1014.99,0.000515
6598,6603,23014.9,23002.67,-0.000531,1014.45,-0.000531
6608,6612,22991.44,22998.39,0.000302,1014.76,0.000302
6614,6682,22995.92,22739.19,-0.011164,1003.43,-0.011164
6683,6687,22729.85,22762.68,0.001444,1004.88,0.001444
6691,6699,22759.58,22774.34,0.000649,1005.53,0.000649
6701,6706,22760.96,22790.49,0.001297,1006.84,0.001297
